tick_us,arm_id,x_mm,y_mm,z_mm,qw,qx,qy,qz,linear_vel_mmps,force_clamp_N,tool,command_state,phase_id,meta_seed,meta_iteration_id
5000000,ARM_1,96.89,24.79,86.349,0.9922,0.1247,0.0,0.0,800.0,0.719,HYBRID_USP,EMIT,2,20260510,run_00001
5100000,ARM_1,96.711,25.27,86.352,0.9919,0.1272,0.0,0.0,800.0,0.732,HYBRID_USP,EMIT,2,20260510,run_00001
5200000,ARM_1,96.704,25.79,86.552,0.9916,0.1296,0.0,0.0,800.0,0.745,HYBRID_USP,EMIT,2,20260510,run_00001
5300000,ARM_1,96.562,26.173,86.54,0.9912,0.1321,0.0,0.0,800.0,0.758,HYBRID_USP,EMIT,2,20260510,run_00001
5400000,ARM_1,96.432,26.624,86.711,0.9909,0.1346,0.0,0.0,800.0,0.771,HYBRID_USP,EMIT,2,20260510,run_00001
5500000,ARM_1,96.084,27.22,86.882,0.9906,0.1371,0.0,0.0,800.0,0.784,HYBRID_USP,EMIT,2,20260510,run_00001
5600000,ARM_1,96.074,27.617,87.043,0.9902,0.1395,0.0,0.0,800.0,0.797,HYBRID_USP,EMIT,2,20260510,run_00001
5700000,ARM_1,95.89,28.169,87.142,0.9899,0.142,0.0,0.0,800.0,0.809,HYBRID_USP,EMIT,2,20260510,run_00001
5800000,ARM_1,95.831,28.58,87.21,0.9895,0.1445,0.0,0.0,800.0,0.822,HYBRID_USP,EMIT,2,20260510,run_00001
5900000,ARM_1,95.736,29.05,87.352,0.9891,0.147,0.0,0.0,800.0,0.835,HYBRID_USP,EMIT,2,20260510,run_00001
6000000,ARM_1,95.478,29.568,87.486,0.9888,0.1494,0.0,0.0,800.0,0.847,HYBRID_USP,EMIT,2,20260510,run_00001
6100000,ARM_1,95.325,30.04,87.58,0.9884,0.1519,0.0,0.0,800.0,0.859,HYBRID_USP,EMIT,2,20260510,run_00001
6200000,ARM_1,95.242,30.508,87.739,0.988,0.1544,0.0,0.0,800.0,0.872,HYBRID_USP,EMIT,2,20260510,run_00001
6300000,ARM_1,95.016,31.074,87.895,0.9876,0.1568,0.0,0.0,800.0,0.884,HYBRID_USP,EMIT,2,20260510,run_00001
6400000,ARM_1,94.875,31.524,87.892,0.9872,0.1593,0.0,0.0,800.0,0.896,HYBRID_USP,EMIT,2,20260510,run_00001
6500000,ARM_1,94.717,31.963,88.098,0.9868,0.1618,0.0,0.0,800.0,0.908,HYBRID_USP,EMIT,2,20260510,run_00001
6600000,ARM_1,94.54,32.352,88.238,0.9864,0.1643,0.0,0.0,800.0,0.92,HYBRID_USP,EMIT,2,20260510,run_00001
6700000,ARM_1,94.397,32.737,88.312,0.986,0.1667,0.0,0.0,800.0,0.931,HYBRID_USP,EMIT,2,20260510,run_00001
6800000,ARM_1,94.315,33.296,88.486,0.9856,0.1692,0.0,0.0,800.0,0.943,HYBRID_USP,EMIT,2,20260510,run_00001
6900000,ARM_1,94.039,33.776,88.631,0.9852,0.1716,0.0,0.0,800.0,0.955,HYBRID_USP,EMIT,2,20260510,run_00001
7000000,ARM_1,93.974,34.312,88.742,0.9847,0.1741,0.0,0.0,800.0,0.966,HYBRID_USP,EMIT,2,20260510,run_00001
7100000,ARM_1,93.858,34.783,88.781,0.9843,0.1766,0.0,0.0,800.0,0.978,HYBRID_USP,EMIT,2,20260510,run_00001
7200000,ARM_1,93.611,35.256,88.951,0.9838,0.179,0.0,0.0,800.0,0.989,HYBRID_USP,EMIT,2,20260510,run_00001
7300000,ARM_1,93.42,35.647,89.072,0.9834,0.1815,0.0,0.0,800.0,1.0,HYBRID_USP,EMIT,2,20260510,run_00001
7400000,ARM_1,93.26,36.123,89.186,0.9829,0.1839,0.0,0.0,800.0,1.011,HYBRID_USP,EMIT,2,20260510,run_00001
7500000,ARM_1,93.14,36.608,89.326,0.9825,0.1864,0.0,0.0,800.0,1.022,HYBRID_USP,EMIT,2,20260510,run_00001
7600000,ARM_1,92.92,37.055,89.435,0.982,0.1889,0.0,0.0,800.0,1.033,HYBRID_USP,EMIT,2,20260510,run_00001
7700000,ARM_1,92.673,37.627,89.506,0.9815,0.1913,0.0,0.0,800.0,1.044,HYBRID_USP,EMIT,2,20260510,run_00001
7800000,ARM_1,92.429,37.858,89.716,0.981,0.1938,0.0,0.0,800.0,1.055,HYBRID_USP,EMIT,2,20260510,run_00001
7900000,ARM_1,92.38,38.388,89.881,0.9806,0.1962,0.0,0.0,800.0,1.066,HYBRID_USP,EMIT,2,20260510,run_00001
8000000,ARM_1,92.076,39.003,89.963,0.9801,0.1987,0.0,0.0,800.0,1.076,HYBRID_USP,EMIT,2,20260510,run_00001
8100000,ARM_1,91.945,39.356,90.049,0.9796,0.2011,0.0,0.0,800.0,1.086,HYBRID_USP,EMIT,2,20260510,run_00001
8200000,ARM_1,91.749,39.867,90.135,0.9791,0.2036,0.0,0.0,800.0,1.097,HYBRID_USP,EMIT,2,20260510,run_00001
8300000,ARM_1,91.539,40.486,90.355,0.9785,0.206,0.0,0.0,800.0,1.107,HYBRID_USP,EMIT,2,20260510,run_00001
8400000,ARM_1,91.235,40.853,90.471,0.978,0.2085,0.0,0.0,800.0,1.117,HYBRID_USP,EMIT,2,20260510,run_00001
8500000,ARM_1,91.107,41.264,90.512,0.9775,0.2109,0.0,0.0,800.0,1.127,HYBRID_USP,EMIT,2,20260510,run_00001
8600000,ARM_1,90.833,41.674,90.764,0.977,0.2133,0.0,0.0,800.0,1.137,HYBRID_USP,EMIT,2,20260510,run_00001
8700000,ARM_1,90.799,42.091,90.888,0.9764,0.2158,0.0,0.0,800.0,1.146,HYBRID_USP,EMIT,2,20260510,run_00001
8800000,ARM_1,90.329,42.59,90.805,0.9759,0.2182,0.0,0.0,800.0,1.156,HYBRID_USP,EMIT,2,20260510,run_00001
8900000,ARM_1,90.246,43.059,91.044,0.9753,0.2207,0.0,0.0,800.0,1.166,HYBRID_USP,EMIT,2,20260510,run_00001
9000000,ARM_1,90.032,43.601,91.099,0.9748,0.2231,0.0,0.0,800.0,1.175,HYBRID_USP,EMIT,2,20260510,run_00001
9100000,ARM_1,89.894,43.894,91.247,0.9742,0.2255,0.0,0.0,800.0,1.184,HYBRID_USP,EMIT,2,20260510,run_00001
9200000,ARM_1,89.641,44.328,91.375,0.9737,0.228,0.0,0.0,800.0,1.193,HYBRID_USP,EMIT,2,20260510,run_00001
9300000,ARM_1,89.403,44.848,91.48,0.9731,0.2304,0.0,0.0,800.0,1.202,HYBRID_USP,EMIT,2,20260510,run_00001
9400000,ARM_1,89.146,45.243,91.571,0.9725,0.2328,0.0,0.0,800.0,1.211,HYBRID_USP,EMIT,2,20260510,run_00001
9500000,ARM_1,88.834,45.774,91.729,0.9719,0.2353,0.0,0.0,800.0,1.22,HYBRID_USP,EMIT,2,20260510,run_00001
9600000,ARM_1,88.78,46.217,91.881,0.9713,0.2377,0.0,0.0,800.0,1.229,HYBRID_USP,EMIT,2,20260510,run_00001
9700000,ARM_1,88.467,46.649,92.025,0.9707,0.2401,0.0,0.0,800.0,1.237,HYBRID_USP,EMIT,2,20260510,run_00001
9800000,ARM_1,88.239,46.984,92.202,0.9701,0.2426,0.0,0.0,800.0,1.246,HYBRID_USP,EMIT,2,20260510,run_00001
9900000,ARM_1,87.982,47.422,92.315,0.9695,0.245,0.0,0.0,800.0,1.254,HYBRID_USP,EMIT,2,20260510,run_00001
