tick_us,arm_id,x_mm,y_mm,z_mm,qw,qx,qy,qz,linear_vel_mmps,force_clamp_N,tool,command_state,phase_id,meta_seed,meta_iteration_id
5000000,ARM_3,133.179,118.13,98.366,0.9305,0.3663,0.0,0.0,600.0,1.496,SUCTION_COL,EMIT,2,20260510,run_00001
5100000,ARM_3,132.857,118.469,98.411,0.9296,0.3686,0.0,0.0,600.0,1.497,SUCTION_COL,EMIT,2,20260510,run_00001
5200000,ARM_3,132.484,118.911,98.594,0.9287,0.3709,0.0,0.0,600.0,1.498,SUCTION_COL,EMIT,2,20260510,run_00001
5300000,ARM_3,132.192,119.315,98.678,0.9277,0.3732,0.0,0.0,600.0,1.499,SUCTION_COL,EMIT,2,20260510,run_00001
5400000,ARM_3,131.742,119.69,98.738,0.9268,0.3756,0.0,0.0,600.0,1.499,SUCTION_COL,EMIT,2,20260510,run_00001
5500000,ARM_3,131.535,119.923,98.842,0.9259,0.3779,0.0,0.0,600.0,1.5,SUCTION_COL,EMIT,2,20260510,run_00001
5600000,ARM_3,131.084,120.325,99.01,0.9249,0.3802,0.0,0.0,600.0,1.5,SUCTION_COL,EMIT,2,20260510,run_00001
5700000,ARM_3,130.759,120.761,99.115,0.924,0.3825,0.0,0.0,600.0,1.5,SUCTION_COL,EMIT,2,20260510,run_00001
5800000,ARM_3,130.325,121.048,99.16,0.923,0.3848,0.0,0.0,600.0,1.5,SUCTION_COL,EMIT,2,20260510,run_00001
5900000,ARM_3,130.06,121.397,99.431,0.922,0.3871,0.0,0.0,600.0,1.5,SUCTION_COL,EMIT,2,20260510,run_00001
6000000,ARM_3,129.728,121.645,99.431,0.9211,0.3894,0.0,0.0,600.0,1.499,SUCTION_COL,EMIT,2,20260510,run_00001
6100000,ARM_3,129.303,122.077,99.65,0.9201,0.3917,0.0,0.0,600.0,1.499,SUCTION_COL,EMIT,2,20260510,run_00001
6200000,ARM_3,128.955,122.432,99.692,0.9191,0.394,0.0,0.0,600.0,1.498,SUCTION_COL,EMIT,2,20260510,run_00001
6300000,ARM_3,128.594,122.726,99.781,0.9181,0.3963,0.0,0.0,600.0,1.497,SUCTION_COL,EMIT,2,20260510,run_00001
6400000,ARM_3,128.128,123.193,99.918,0.9171,0.3986,0.0,0.0,600.0,1.496,SUCTION_COL,EMIT,2,20260510,run_00001
6500000,ARM_3,127.816,123.483,100.146,0.9161,0.4009,0.0,0.0,600.0,1.495,SUCTION_COL,EMIT,2,20260510,run_00001
6600000,ARM_3,127.438,123.857,100.123,0.9151,0.4032,0.0,0.0,600.0,1.494,SUCTION_COL,EMIT,2,20260510,run_00001
6700000,ARM_3,127.163,124.116,100.275,0.9141,0.4055,0.0,0.0,600.0,1.493,SUCTION_COL,EMIT,2,20260510,run_00001
6800000,ARM_3,126.791,124.445,100.382,0.9131,0.4078,0.0,0.0,600.0,1.491,SUCTION_COL,EMIT,2,20260510,run_00001
6900000,ARM_3,126.416,124.811,100.531,0.9121,0.41,0.0,0.0,600.0,1.489,SUCTION_COL,EMIT,2,20260510,run_00001
7000000,ARM_3,126.05,125.145,100.627,0.911,0.4123,0.0,0.0,600.0,1.487,SUCTION_COL,EMIT,2,20260510,run_00001
